date,open,high,low,close,pct
1988-01-14,155.54,157.43,155.51,156.04,0.32
1988-01-15,156.04,161.38,156.04,159.82,2.43
1988-01-18,159.82,159.88,157.93,159.03,-0.5
1988-01-19,159.03,159.38,156.92,158.01,-0.64
1988-01-20,158.01,158.02,151.79,152.47,-3.51
1988-01-21,152.47,153.8,151.57,152.95,0.32
1988-01-22,152.95,154.99,152.95,154.35,0.92
1988-01-25,154.35,157.85,154.35,157.06,1.75
1988-01-26,157.06,157.07,154.79,155.23,-1.16
1988-01-27,155.23,156.53,154.79,155.43,0.13
1988-01-28,155.43,158.01,155.43,157.66,1.43
1988-01-29,157.66,159.15,157.26,159.13,0.94
1988-02-01,159.13,160.41,158.45,158.62,-0.32
1988-02-02,158.62,159.04,157.51,158.98,0.23
1988-02-03,158.98,159.53,156.13,156.58,-1.51
1988-02-04,156.58,157.72,156.1,157.38,0.51
1988-02-05,157.38,159.26,157.38,158.01,0.4
1988-02-08,158.01,158.4,156.67,157.88,-0.09
1988-02-09,157.88,159.06,157.51,158.93,0.67
1988-02-10,158.93,162.5,158.88,162.24,2.08
1988-02-11,162.24,163.62,161.94,162.96,0.44
1988-02-12,162.96,164.86,162.96,163.94,0.6
1988-02-16,163.94,165.7,163.35,165.54,0.98
1988-02-17,165.54,167.78,165.54,165.81,0.16
1988-02-18,165.81,167.11,165.31,165.75,-0.03
1988-02-19,165.75,167.34,165.36,167.08,0.8
1988-02-22,167.08,170.29,167.08,170.2,1.87
1988-02-23,170.28,171.72,169.99,171.29,0.64
1988-02-24,171.29,173.07,171.09,172.48,0.69
1988-02-25,172.48,174.05,170.7,170.79,-0.98
1988-02-26,170.79,171.04,169.68,170.65,-0.08
1988-02-29,170.65,172.73,170.2,172.64,1.17
1988-03-01,172.64,173.37,171.72,172.64,0.0
1988-03-02,172.64,175.68,172.55,175.12,1.44
1988-03-03,175.12,177.28,175.07,176.5,0.79
1988-03-04,176.5,177.42,174.76,177.39,0.5
1988-03-07,177.39,178.66,176.78,178.47,0.61
1988-03-08,178.47,180.54,178.46,179.63,0.65
1988-03-09,179.63,182.03,179.63,181.24,0.9
1988-03-10,181.24,182.74,178.29,178.44,-1.55
1988-03-11,178.44,178.76,175.69,177.89,-0.31
1988-03-14,177.89,179.22,177.89,179.21,0.74
1988-03-15,179.21,179.32,177.49,178.32,-0.5
1988-03-16,178.32,180.45,177.37,180.42,1.18
1988-03-17,180.42,182.12,180.42,181.24,0.45
1988-03-18,181.24,182.58,180.36,181.04,-0.11
1988-03-21,181.04,181.07,177.72,178.9,-1.18
1988-03-22,178.9,180.26,178.64,180.02,0.62
1988-03-23,180.02,180.61,178.41,179.25,-0.43
1988-03-24,179.25,179.25,174.05,174.77,-2.5
1988-03-25,174.77,175.52,172.51,172.88,-1.08
1988-03-28,172.88,173.15,170.53,172.84,-0.02
1988-03-29,172.84,175.13,172.84,173.67,0.48
1988-03-30,173.67,174.42,171.44,172.13,-0.88
1988-03-31,172.13,173.35,171.09,173.26,0.66
1988-04-04,173.26,173.26,170.87,171.41,-1.07
1988-04-05,171.41,172.97,171.27,172.9,0.87
1988-04-06,172.9,176.6,172.83,176.6,2.14
1988-04-07,176.6,178.22,176.6,177.33,0.41
1988-04-08,177.3,179.56,176.91,178.93,0.9
1988-04-11,179.39,180.21,178.61,179.94,0.56
1988-04-12,180.12,180.65,179.0,180.1,0.09
1988-04-13,180.11,180.91,178.93,180.39,0.16
1988-04-14,180.22,180.22,173.2,173.27,-3.94
1988-04-15,173.17,173.79,170.14,173.14,-0.08
1988-04-18,173.17,173.95,172.06,173.55,0.24
1988-04-19,173.92,177.03,173.92,174.36,0.46
1988-04-20,174.27,174.27,172.61,172.94,-0.81
1988-04-21,173.23,174.66,171.58,172.07,-0.5
1988-04-22,171.89,173.64,171.89,173.32,0.73
1988-04-25,173.38,174.94,173.38,174.4,0.62
1988-04-26,174.48,176.86,174.48,176.75,1.34
1988-04-27,176.74,177.79,176.54,177.21,0.26
1988-04-28,177.28,177.62,176.5,176.73,-0.27
1988-04-29,176.74,176.74,174.77,175.92,-0.46
1988-05-02,175.94,177.04,175.43,176.75,0.47
